Chrom	Start	End	cdsStart	cdsEnd	Strand	ensemblGeneID	ensemblTranscriptID	ensemblProteinID	Gene	GeneLength	cdsLength	Coding
chr11	60691952	60704631	60692105	60704379	+	ENSG00000006118	ENST00000005286	ENSP00000005286	TMEM132A	12679	12274	Coding
chr11	60704555	60719257	60704690	60719023	-	ENSG00000110446	ENST00000227880	ENSP00000227880	SLC15A3	14702	14333	Coding
chr11	60739114	60787846	60739337	60786790	+	ENSG00000013725	ENST00000346437	ENSP00000345566	CD6	48732	47453	Coding
chr11	60869866	60895324	60870032	60893311	+	ENSG00000110448	ENST00000347785	ENSP00000342681	CD5	25458	23279	Coding
chr11	60897727	60929089	60899291	60906301	-	ENSG00000167987	ENST00000301765	ENSP00000301765	VPS37C	31362	7010	Coding
chr11	60970851	60980570	60971036	60980174	+	ENSG00000229859	ENST00000325558	ENSP00000322192	PGA3	9719	9138	Coding
chr11	60989687	60999399	60989872	60999003	+	ENSG00000229183	ENST00000378149	ENSP00000367391	PGA4	9712	9131	Coding
chr11	61008513	61018920	61008698	61018753	+	ENSG00000256713	ENST00000312403	ENSP00000309542	PGA5	10407	10055	Coding
chr11	61025761	61062896	61026146	61062509	-	ENSG00000167992	ENST00000335613	ENSP00000334186	VWCE	37135	36363	Coding
chr11	61067522	61110068	61068344	61100440	-	ENSG00000167986	ENST00000540166	ENSP00000440269	DDB1	42546	32096	Coding
chr11	61100681	61116714	61102200	61113975	+	ENSG00000149476	ENST00000394900	ENSP00000378360	DAK	16033	11775	Coding
chr11	61116216	61129771	61117870	61124185	-	ENSG00000162144	ENST00000294072	ENSP00000294072	CYB561A3	13555	6315	Coding
chr11	61129472	61136981	61131862	61136181	+	ENSG00000149483	ENST00000278826	ENSP00000278826	TMEM138	7509	4319	Coding
chr11	61159831	61166335	61160103	61165748	+	ENSG00000187049	ENST00000334888	ENSP00000334844	TMEM216	6504	5645	Coding
chr11	61170120	61197503	61178414	61196707	-	ENSG00000149532	ENST00000394888	ENSP00000378352	CPSF7	27383	18293	Coding
chr11	61197544	61215001	61197618	61213543	+	ENSG00000167985	ENST00000301761	ENSP00000301761	SDHAF2	17457	15925	Coding
chr11	61248591	61258403	61249281	61258042	+	ENSG00000162148	ENST00000338608	ENSP00000344140	PPP1R32	9812	8761	Coding
chr11	61276067	61276129	61276129	61276129	+	ENSG00000266006	ENST00000577388		MIR4488	62	0	Non-Coding
chr11	61276271	61278482	61276470	61277349	+	ENSG00000204950	ENST00000378075	ENSP00000367315	LRRC10B	2211	879	Coding
chr11	61282784	61348620	61286098	61348292	-	ENSG00000011347	ENST00000263846	ENSP00000263846	SYT7	65836	62194	Coding
chr11	61355965	61375022	61375022	61375022	+	ENSG00000250230	ENST00000506329		BC040894	19057	0	Non-Coding
chr11	61382507	61406921	61406921	61406921	+	ENSG00000243742	ENST00000496593		RPLP0P2	24414	0	Non-Coding
chr11	61447904	61514473	61487627	61511961	+	ENSG00000134780	ENST00000257215	ENSP00000257215	DAGLA	66569	24334	Coding
chr11	61520120	61555990	61520216	61553615	+	ENSG00000124920	ENST00000278836	ENSP00000278836	MYRF	35870	33399	Coding
chr11	61521500	61525127	61525127	61525127	-	ENSG00000124915	ENST00000244906		DKFZP434K028	3627	0	Non-Coding
chr11	61556602	61560274	61557266	61558062	-	ENSG00000134825	ENST00000543510	ENSP00000443836	TMEM258	3672	796	Coding
chr11	61559966	61560033	61560033	61560033	-	ENSG00000207601	ENST00000384869		MIR611	67	0	Non-Coding
chr11	61560108	61564716	61562833	61563976	+	ENSG00000168496	ENST00000305885	ENSP00000305480	FEN1	4608	1143	Coding
chr11	61567098	61584634	61569882	61584401	-	ENSG00000149485	ENST00000350997	ENSP00000322229	FADS1	17536	14519	Coding
chr11	61582632	61582712	61582712	61582712	-	ENSG00000222326	ENST00000410394		MIR1908	80	0	Non-Coding
chr11	61583727	61634826	61583757	61633161	+	ENSG00000134824	ENST00000257261	ENSP00000257261	FADS2	51099	49404	Coding
chr11	61640997	61659006	61641285	61658853	-	ENSG00000221968	ENST00000278829	ENSP00000278829	FADS3	18009	17568	Coding
chr11	61664772	61687741	61665749	61687664	-	ENSG00000167994	ENST00000301773	ENSP00000301773	RAB3IL1	22969	21915	Coding
chr11	61717841	61732987	61722606	61730621	+	ENSG00000167995	ENST00000449131	ENSP00000399709	BEST1	15146	8015	Coding
chr11	61731756	61735132	61732198	61734897	-	ENSG00000167996	ENST00000273550	ENSP00000273550	FTH1	3376	2699	Coding
chr11	61735452	61736755	61735575	61736070	+	ENSG00000269089	ENST00000601917	ENSP00000471839	BC132896	1303	495	Coding
chr11	61891444	61920453	61895633	61919448	+	ENSG00000149503	ENST00000394818	ENSP00000378295	INCENP	29009	23815	Coding
chr11	61957687	61961011	61957756	61960900	+	ENSG00000168515	ENST00000306238	ENSP00000303070	SCGB1D1	3324	3144	Coding
chr11	61976139	61981408	61976203	61981242	+	ENSG00000124939	ENST00000244930	ENSP00000244930	SCGB2A1	5269	5039	Coding
chr11	62009681	62012280	62009779	62012171	+	ENSG00000124935	ENST00000244926	ENSP00000244926	SCGB1D2	2599	2392	Coding
chr11	62037626	62040628	62037688	62040467	+	ENSG00000110484	ENST00000227918	ENSP00000227918	SCGB2A2	3002	2779	Coding
chr11	62063753	62066536	62063881	62066482	-	ENSG00000197745	ENST00000358585	ENSP00000351395	SCGB1D4	2783	2601	Coding
chr11	62104919	62160882	62105449	62159756	+	ENSG00000162174	ENST00000415229	ENSP00000400057	ASRGL1	55963	54307	Coding
chr11	62186506	62190667	62186567	62190563	+	ENSG00000149021	ENST00000278282	ENSP00000278282	SCGB1A1	4161	3996	Coding
chr11	62201017	62314268	62201355	62303570	-	ENSG00000124942	ENST00000257247	ENSP00000257247	AHNAK	113251	102215	Coding
chr11	62327074	62359003	62342276	62358957	-	ENSG00000255508	ENST00000496634	ENSP00000456163	EEF1G	31929	16681	Coding
chr11	62327074	62342401	62327150	62342310	-	ENSG00000254772	ENST00000378019	ENSP00000367258	EEF1G	15327	15160	Coding
chr11	62342516	62359109	62342565	62359071	-	ENSG00000149016	ENST00000308436	ENSP00000308000	TUT1	16593	16506	Coding
chr11	62360685	62369312	62361346	62368922	-	ENSG00000149480	ENST00000278823	ENSP00000278823	MTA2	8627	7576	Coding
chr11	62369689	62380237	62369946	62379929	-	ENSG00000149499	ENST00000394773	ENSP00000378254	EML3	10548	9983	Coding
chr11	62380212	62382592	62380753	62382311	+	ENSG00000149489	ENST00000278833	ENSP00000278833	ROM1	2380	1558	Coding
chr11	62382767	62389647	62383172	62389419	-	ENSG00000149541	ENST00000265471	ENSP00000265471	B3GAT3	6880	6247	Coding
chr11	62392297	62414087	62393286	62414071	-	ENSG00000089597	ENST00000346178	ENSP00000340466	GANAB	21790	20785	Coding
chr11	62414319	62420774	62414491	62420721	-	ENSG00000185085	ENST00000330574	ENSP00000327889	INTS5	6455	6230	Coding
chr11	62430286	62439241	62430600	62437503	-	ENSG00000162194	ENST00000354588	ENSP00000346600	C11orf48	8955	6903	Coding
chr11	62432784	62435968	62435968	62435968	+	ENSG00000214756	ENST00000529868		METTL12	3184	0	Non-Coding
chr11	62432893	62433042	62433042	62433042	+	ENSG00000206597	ENST00000383870		SNORA57	149	0	Non-Coding
chr11	62439125	62441159	62439217	62439586	+	ENSG00000204922	ENST00000377953	ENSP00000367189	C11orf83	2034	369	Coding
chr11	62443969	62446562	62444061	62446395	-	ENSG00000162191	ENST00000301935	ENSP00000303991	UBXN1	2593	2334	Coding
chr11	62453873	62457371	62455263	62455980	-	ENSG00000177363	ENST00000317449	ENSP00000325808	LRRN4CL	3498	717	Coding
chr11	62457746	62477046	62457838	62474667	-	ENSG00000168000	ENST00000433053	ENSP00000414002	BSCL2	19300	16829	Coding
chr11	62457746	62494856	62474718	62494628	-	ENSG00000234857	ENST00000403734	ENSP00000456010	HNRNPUL2-BSCL2	37110	19910	Coding
chr11	62475129	62476673	62475767	62476278	+	ENSG00000162188	ENST00000294117	ENSP00000294117	GNG3	1544	511	Coding
chr11	62480101	62494821	62482770	62494628	-	ENSG00000214753	ENST00000301785	ENSP00000301785	HNRNPUL2	14720	11858	Coding
chr11	62496010	62506108	62496320	62505854	+	ENSG00000162222	ENST00000316461	ENSP00000325266	TTC9C	10098	9534	Coding
chr11	62518434	62521660	62519561	62521534	-	ENSG00000185670	ENST00000394807	ENSP00000378286	ZBTB3	3226	1973	Coding
chr11	62529015	62534182	62529120	62533979	+	ENSG00000168002	ENST00000301788	ENSP00000301788	POLR2G	5167	4859	Coding
chr11	62538774	62554814	62543255	62554768	+	ENSG00000162227	ENST00000294168	ENSP00000294168	TAF6L	16040	11513	Coding
chr11	62554898	62557877	62554903	62557519	+	ENSG00000185475	ENST00000333449	ENSP00000333697	TMEM179B	2979	2616	Coding
chr11	62557442	62559493	62558094	62559466	-	ENSG00000168569	ENST00000307366	ENSP00000303987	TMEM223	2051	1372	Coding
chr11	62559597	62572964	62559947	62572828	-	ENSG00000162231	ENST00000294172	ENSP00000294172	NXF1	13367	12881	Coding
chr11	62574368	62599560	62574940	62598715	-	ENSG00000162236	ENST00000294179	ENSP00000294179	STX5	25192	23775	Coding
chr11	62600383	62609281	62600423	62607042	-	ENSG00000133316	ENST00000525239	ENSP00000432119	WDR74	8898	6619	Coding
chr11	62619460	62623357	62623357	62623357	-	ENSG00000255717	ENST00000538654		SNHG1	3897	0	Non-Coding
chr11	62623517	62656352	62623741	62656165	+	ENSG00000168003	ENST00000377892	ENSP00000367124	SLC3A2	32835	32424	Coding
chr11	62676150	62689153	62677189	62678572	-	ENSG00000168539	ENST00000306960	ENSP00000306490	CHRM1	13003	1383	Coding
chr11	62744068	62752455	62744265	62752162	-	ENSG00000197901	ENST00000360421	ENSP00000353597	SLC22A6	8387	7897	Coding
chr11	62760295	62783311	62760708	62782430	-	ENSG00000149452	ENST00000336232	ENSP00000337335	SLC22A8	23016	21722	Coding
chr11	62847411	62911693	62847411	62911251	-	ENSG00000197658	ENST00000417740	ENSP00000396586	SLC22A24	64282	63840	Coding
chr11	62921971	63137190	63064898	63129855	+	ENSG00000184999	ENST00000535888	ENSP00000444602	SLC22A10	215219	64957	Coding
chr11	62931247	62997124	62931295	62997124	-	ENSG00000196600	ENST00000306494	ENSP00000307443	SLC22A25	65877	65829	Coding
chr11	63137279	63177766	63137528	63177334	+	ENSG00000149742	ENST00000279178	ENSP00000279178	SLC22A9	40487	39806	Coding
chr11	63228885	63258639	63230974	63258506	-	ENSG00000168004	ENST00000540857	ENSP00000444809	HRASLS5	29754	27532	Coding
chr11	63273555	63284239	63273864	63283865	+	ENSG00000133317	ENST00000255684	ENSP00000255684	LGALS12	10684	10001	Coding
chr11	63304292	63313934	63304340	63313728	+	ENSG00000133321	ENST00000255688	ENSP00000255688	RARRES3	9642	9388	Coding
chr11	63320241	63330855	63320435	63330796	-	ENSG00000133328	ENST00000255695	ENSP00000255695	HRASLS2	10614	10361	Coding
chr11	63340666	63381841	63342416	63381486	-	ENSG00000176485	ENST00000323646	ENSP00000320337	PLA2G16	41175	39070	Coding
chr11	63391559	63439187	63396790	63439187	-	ENSG00000184743	ENST00000332645	ENSP00000329034	ATL3	47628	42397	Coding
chr11	63448917	63527354	63449108	63525747	+	ENSG00000133318	ENST00000341307	ENSP00000340903	RTN3	78437	76639	Coding
chr11	63527363	63536113	63536113	63536113	-	ENSG00000188070	ENST00000433688		C11orf95	8750	0	Non-Coding
chr11	63580859	63595190	63581158	63594611	+	ENSG00000168005	ENST00000294244	ENSP00000294244	C11orf84	14331	13453	Coding
chr11	63606399	63678491	63606978	63676709	+	ENSG00000072518	ENST00000402010	ENSP00000385751	MARK2	72092	69731	Coding
chr11	63678692	63684316	63679336	63683928	-	ENSG00000167771	ENST00000301459	ENSP00000301459	RCOR2	5624	4592	Coding
chr11	63706430	63724791	63724791	63724791	+	ENSG00000110583	ENST00000338447		NAA40	18361	0	Non-Coding
chr11	63742078	63744015	63742152	63743792	+	ENSG00000176340	ENST00000314133	ENSP00000321260	COX8A	1937	1640	Coding
chr11	63753324	63765883	63765883	63765883	+	ENSG00000167770	ENST00000301453		OTUB1	12559	0	Non-Coding
chr11	63766029	63933533	63766339	63933466	-	ENSG00000133315	ENST00000255681	ENSP00000255681	MACROD1	167504	167127	Coding
chr11	63870659	63886645	63883739	63885764	+	ENSG00000126500	ENST00000246841	ENSP00000246841	FLRT1	15986	2025	Coding
chr11	63953586	63972015	63953733	63971598	+	ENSG00000168439	ENST00000305218	ENSP00000305958	STIP1	18429	17865	Coding
chr11	63974205	63991354	63974836	63990964	+	ENSG00000149781	ENST00000279227	ENSP00000279227	FERMT3	17149	16128	Coding
chr11	63991271	63993726	63991347	63993332	-	ENSG00000149743	ENST00000394546	ENSP00000378050	TRPT1	2455	1985	Coding
chr11	63993761	63997488	63994124	63997462	+	ENSG00000149761	ENST00000279206	ENSP00000279206	NUDT22	3727	3338	Coding
chr11	63997749	64001753	63998326	64001656	+	ENSG00000110011	ENST00000321685	ENSP00000396896	DNAJC4	4004	3330	Coding
chr11	64002009	64006259	64002305	64005105	+	ENSG00000173511	ENST00000309422	ENSP00000311127	VEGFB	4250	2800	Coding
chr11	64008475	64011596	64009859	64011501	+	ENSG00000173486	ENST00000309366	ENSP00000310935	FKBP2	3121	1642	Coding
chr11	64011955	64014413	64012225	64014145	-	ENSG00000173457	ENST00000309318	ENSP00000310117	PPP1R14B	2458	1920	Coding
chr11	64019018	64036622	64019121	64035028	+	ENSG00000149782	ENST00000540288	ENSP00000443631	PLCB3	17604	15907	Coding
chr11	64037305	64052141	64037680	64051840	-	ENSG00000002330	ENST00000309032	ENSP00000309103	BAD	14836	14160	Coding
chr11	64051810	64056876	64051838	64056837	+	ENSG00000173264	ENST00000411458	ENSP00000411827	GPR137	5066	4999	Coding
chr11	64058773	64064898	64064898	64064898	+	ENSG00000182450	ENST00000538846		KCNK4	6125	0	Non-Coding
chr11	64059193	64072241	64072241	64072241	+	ENSG00000257069	ENST00000539086		KCNK4	13048	0	Non-Coding
chr11	64073043	64084210	64074651	64083438	+	ENSG00000173153	ENST00000406310	ENSP00000385971	ESRRA	11167	8787	Coding
chr11	64084162	64085556	64084332	64084998	-	ENSG00000173113	ENST00000544844	ENSP00000438349	TRMT112	1394	666	Coding
chr11	64085559	64089283	64085687	64089163	+	ENSG00000126432	ENST00000265462	ENSP00000265462	PRDX5	3724	3476	Coding
chr11	64107694	64125006	64107738	64124566	+	ENSG00000168071	ENST00000356786	ENSP00000349238	CCDC88B	17312	16828	Coding
chr11	64126619	64139687	64126707	64138952	+	ENSG00000162302	ENST00000528057	ENSP00000435580	RPS6KA4	13068	12245	Coding
chr11	64136073	64136175	64136175	64136175	+	ENSG00000221273	ENST00000408346		MIR1237	102	0	Non-Coding
chr11	64187862	64188529	64188529	64188529	+	ENSG00000231492	ENST00000569737		BC038767	667	0	Non-Coding
chr11	64216545	64219126	64217016	64217644	+	ENSG00000181908	ENST00000316124	ENSP00000325219	LOC100996455	2581	628	Coding
chr11	64323097	64340347	64323471	64338514	+	ENSG00000168065	ENST00000301891	ENSP00000301891	SLC22A11	17250	15043	Coding
chr11	64358281	64369820	64359028	64369023	+	ENSG00000197891	ENST00000377574	ENSP00000366797	SLC22A12	11539	9995	Coding
chr11	64373645	64490660	64374667	64481171	-	ENSG00000110076	ENST00000377559	ENSP00000366782	NRXN2	117015	106504	Coding
chr11	64494382	64512928	64494773	64510338	-	ENSG00000068831	ENST00000354024	ENSP00000338864	RASGRP2	18546	15565	Coding
chr11	64513860	64527769	64514130	64527370	-	ENSG00000068976	ENST00000164139	ENSP00000164139	PYGM	13909	13240	Coding
chr11	64532077	64546258	64532860	64545864	-	ENSG00000168066	ENST00000334944	ENSP00000334414	SF1	14181	13004	Coding
chr11	64556608	64570713	64557008	64570621	-	ENSG00000168067	ENST00000294066	ENSP00000294066	MAP4K2	14105	13613	Coding
chr11	64570995	64578766	64571805	64577581	-	ENSG00000133895	ENST00000394376	ENSP00000377901	MEN1	7771	5776	Coding
chr11	64590858	64612041	64591944	64612041	-	ENSG00000171219	ENST00000342711	ENSP00000345133	CDC42BPG	21183	20097	Coding
chr11	64619113	64646191	64621804	64645936	-	ENSG00000110047	ENST00000320631	ENSP00000320516	EHD1	27078	24132	Coding
chr11	64658608	64658718	64658718	64658718	-	ENSG00000207648	ENST00000384915		MIR192	110	0	Non-Coding
chr11	64658897	64660921	64660921	64660921	-	ENSG00000229719	ENST00000413053		AB429224	2024	0	Non-Coding
chr11	64662006	64684722	64662444	64684607	-	ENSG00000110046	ENST00000421419	ENSP00000410522	ATG2A	22716	22163	Coding
chr11	64692142	64701945	64693206	64701316	+	ENSG00000068971	ENST00000164133	ENSP00000164133	PPP2R5B	9803	8110	Coding
chr11	64701942	64703360	64702244	64702932	-	ENSG00000149735	ENST00000279168	ENSP00000279168	GPHA2	1418	688	Coding
chr11	64705702	64739557	64705996	64717245	-	ENSG00000168070	ENST00000536065	ENSP00000443649	C11orf85	33855	11249	Coding
chr11	64755414	64764517	64756600	64764386	-	ENSG00000168062	ENST00000301887	ENSP00000301887	BATF2	9103	7786	Coding
chr11	64781584	64789656	64781679	64789327	+	ENSG00000213465	ENST00000246747	ENSP00000246747	ARL2	8072	7648	Coding
chr11	64781653	64808042	64781679	64794792	+	ENSG00000273003	ENST00000301886	ENSP00000476630	ARL2-SNX15	26389	13113	Coding
chr11	64808375	64812299	64808764	64812199	+	ENSG00000168061	ENST00000398846	ENSP00000381824	SAC3D1	3924	3435	Coding
chr11	64812294	64826021	64812742	64825993	-	ENSG00000168060	ENST00000358658	ENSP00000351484	NAALADL1	13727	13251	Coding
chr11	64844923	64851623	64846578	64851450	-	ENSG00000146670	ENST00000275517	ENSP00000275517	CDCA5	6700	4872	Coding
chr11	64851706	64855870	64852170	64855586	+	ENSG00000162300	ENST00000294258	ENSP00000294258	ZFPL1	4164	3416	Coding
chr11	64855843	64856563	64855926	64856503	-	ENSG00000187066	ENST00000530719	ENSP00000432459	LOC100130348	720	577	Coding
chr11	64863630	64879332	64863722	64879059	+	ENSG00000149823	ENST00000279281	ENSP00000279281	VPS51	15702	15337	Coding
chr11	64879325	64883828	64879487	64883525	+	ENSG00000149809	ENST00000279263	ENSP00000279263	TM7SF2	4503	4038	Coding
chr11	64883874	64885170	64883913	64885125	-	ENSG00000174276	ENST00000310597	ENSP00000308548	ZNHIT2	1296	1212	Coding
chr11	64888099	64889945	64888152	64889285	-	ENSG00000149806	ENST00000529639	ENSP00000435370	FAU	1846	1133	Coding
chr11	64889654	64894828	64894828	64894828	+	ENSG00000149792	ENST00000524482		MRPL49	5174	0	Non-Coding
chr11	64894750	64902004	64895853	64901072	-	ENSG00000162298	ENST00000377190	ENSP00000366395	SYVN1	7254	5219	Coding
chr11	64937624	64940715	64937706	64940688	+	ENSG00000204710	ENST00000377185	ENSP00000366390	SPDYC	3091	2982	Coding
chr11	64948664	64979477	64950172	64978757	+	ENSG00000014216	ENST00000533820	ENSP00000435272	CAPN1	30813	28585	Coding
chr11	64981310	65010228	65010228	65010228	+	ENSG00000197847	ENST00000454680		SLC22A20	28918	0	Non-Coding
chr11	65029232	65066156	65029763	65064740	+	ENSG00000014138	ENST00000265465	ENSP00000265465	POLA2	36924	34977	Coding
chr11	65082288	65089900	65088369	65089002	+	ENSG00000149798	ENST00000279249	ENSP00000279249	CDC42EP2	7612	633	Coding
chr11	65101224	65120720	65101357	65119230	+	ENSG00000133884	ENST00000528416	ENSP00000436901	DPF2	19496	17873	Coding
chr11	65122237	65125084	65123279	65124695	+	ENSG00000173825	ENST00000309880	ENSP00000308354	TIGD3	2847	1416	Coding
chr11	65142665	65151172	65143877	65147364	-	ENSG00000162241	ENST00000417511	ENSP00000407530	SLC25A45	8507	3487	Coding
chr11	65154069	65180996	65154507	65178831	+	ENSG00000126391	ENST00000317568	ENSP00000319726	FRMD8	26927	24324	Coding
chr11	65190268	65213011	65213011	65213011	+	ENSG00000245532	ENST00000501122		NEAT1	22743	0	Non-Coding
chr11	65265232	65273940	65273940	65273940	+	ENSG00000251562	ENST00000534336		MALAT1	8708	0	Non-Coding
chr11	65292547	65306175	65292624	65306037	+	ENSG00000142186	ENST00000270176	ENSP00000270176	SCYL1	13628	13413	Coding
chr11	65306881	65326401	65306881	65325163	-	ENSG00000168056	ENST00000530866	ENSP00000435276	LTBP3	19520	18282	Coding
chr11	65337130	65337744	65337744	65337744	-	ENSG00000260233	ENST00000567594		SSSCA1-AS1	614	0	Non-Coding
chr11	65337900	65339241	65337962	65339205	+	ENSG00000173465	ENST00000309328	ENSP00000312318	SSSCA1	1341	1243	Coding
chr11	65339819	65341669	65340140	65341112	+	ENSG00000176973	ENST00000316409	ENSP00000314829	FAM89B	1850	972	Coding
chr11	65343508	65360121	65343773	65359773	+	ENSG00000173442	ENST00000309295	ENSP00000312671	EHBP1L1	16613	16000	Coding
chr11	65360325	65363467	65360813	65363243	-	ENSG00000173338	ENST00000394217	ENSP00000377765	KCNK7	3142	2430	Coding
chr11	65365225	65381713	65365761	65381227	-	ENSG00000173327	ENST00000309100	ENSP00000309597	MAP3K11	16488	15466	Coding
chr11	65383243	65404910	65383782	65404449	+	ENSG00000197136	ENST00000355703	ENSP00000347931	PCNXL3	21667	20667	Coding
chr11	65403780	65403840	65403840	65403840	+	ENSG00000266041	ENST00000578459		MIR4690	60	0	Non-Coding
chr11	65405567	65418401	65408392	65418186	+	ENSG00000213445	ENST00000534313	ENSP00000436269	SIPA1	12834	9794	Coding
chr11	65416662	65416724	65416724	65416724	+	ENSG00000265874	ENST00000578869		MIR4489	62	0	Non-Coding
chr11	65421066	65430565	65421848	65430303	-	ENSG00000173039	ENST00000406246	ENSP00000384273	RELA	9499	8455	Coding
chr11	65479466	65487075	65479738	65486652	+	ENSG00000172977	ENST00000377046	ENSP00000366245	KAT5	7609	6914	Coding
chr11	65485143	65488418	65487253	65488229	-	ENSG00000172922	ENST00000308418	ENSP00000308193	RNASEH2C	3275	976	Coding
chr11	65543363	65548273	65545326	65548062	-	ENSG00000254470	ENST00000532090	ENSP00000454303	AP5B1	4910	2736	Coding
chr11	65554492	65564690	65554844	65562812	+	ENSG00000172818	ENST00000335987	ENSP00000337862	OVOL1	10198	7968	Coding
chr11	65601111	65621172	65601536	65620806	+	ENSG00000172803	ENST00000308342	ENSP00000310620	SNX32	20061	19270	Coding
chr11	65622145	65626886	65622806	65625570	-	ENSG00000172757	ENST00000525451	ENSP00000432660	CFL1	4741	2764	Coding
chr11	65627875	65633910	65628224	65633523	+	ENSG00000172732	ENST00000308110	ENSP00000307853	MUS81	6035	5299	Coding
chr11	65633917	65640377	65634388	65639825	-	ENSG00000172638	ENST00000307998	ENSP00000309953	EFEMP2	6460	5437	Coding
chr11	65647279	65651212	65647325	65651089	+	ENSG00000172543	ENST00000307886	ENSP00000311300	CTSW	3933	3764	Coding
chr11	65651391	65656010	65651444	65655889	-	ENSG00000172500	ENST00000357519	ENSP00000350124	FIBP	4619	4445	Coding
chr11	65657874	65659105	65658254	65658863	+	ENSG00000175602	ENST00000312579	ENSP00000311695	CCDC85B	1231	609	Coding
chr11	65659690	65667997	65660356	65667810	-	ENSG00000175592	ENST00000312562	ENSP00000310170	FOSL1	8307	7454	Coding
chr11	65684278	65686588	65684929	65686502	-	ENSG00000175573	ENST00000438576	ENSP00000398350	C11orf68	2310	1573	Coding
chr11	65686727	65689032	65686972	65688906	+	ENSG00000175550	ENST00000312515	ENSP00000307850	DRAP1	2305	1934	Coding
chr11	65712915	65727434	65727434	65727434	+	ENSG00000175513	ENST00000532620		TSGA10IP	14519	0	Non-Coding
chr11	65729159	65747299	65729251	65746501	+	ENSG00000175467	ENST00000312397	ENSP00000310448	SART1	18140	17250	Coding
chr11	65764015	65769628	65766069	65767860	-	ENSG00000175376	ENST00000312234	ENSP00000309175	EIF1AD	5613	1791	Coding
chr11	65769549	65771620	65770721	65771243	+	ENSG00000175334	ENST00000312175	ENSP00000310275	BANF1	2071	522	Coding
chr11	65779311	65780976	65779515	65780871	+	ENSG00000175315	ENST00000312134	ENSP00000311313	CST6	1665	1356	Coding
chr11	65784222	65793988	65784360	65793850	-	ENSG00000175294	ENST00000312106	ENSP00000309052	CATSPER1	9766	9490	Coding
chr11	65809422	65816651	65809977	65812886	-	ENSG00000175229	ENST00000312006	ENSP00000308591	GAL3ST3	7229	2909	Coding
chr11	65819806	65836382	65819855	65836216	+	ENSG00000087365	ENST00000322535	ENSP00000318861	SF3B2	16576	16361	Coding
chr11	65837924	66012218	65837957	66010751	+	ENSG00000175115	ENST00000320580	ENSP00000316454	PACS1	174294	172794	Coding
chr11	66024764	66035330	66026065	66034427	+	ENSG00000174996	ENST00000417856	ENSP00000399403	KLC2	10566	8362	Coding
chr11	66036003	66044963	66036150	66043709	+	ENSG00000174903	ENST00000311481	ENSP00000310226	RAB1B	8960	7559	Coding
chr11	66037302	66045996	66045996	66045996	-	ENSG00000245156	ENST00000501708		AK125412	8694	0	Non-Coding
chr11	66045669	66051683	66045927	66051068	+	ENSG00000174871	ENST00000311445	ENSP00000310003	CNIH2	6014	5141	Coding
chr11	66052050	66056641	66052107	66056456	-	ENSG00000174851	ENST00000376901	ENSP00000366098	YIF1A	4591	4349	Coding
chr11	66059340	66064135	66059484	66063124	+	ENSG00000179292	ENST00000327259	ENSP00000326244	TMEM151A	4795	3640	Coding
chr11	66081957	66084515	66082224	66084498	-	ENSG00000174807	ENST00000311330	ENSP00000308117	CD248	2558	2274	Coding
chr11	66097712	66103479	66103479	66103479	-	ENSG00000174791	ENST00000526246		RIN1	5767	0	Non-Coding
chr11	66104809	66112596	66105352	66109705	-	ENSG00000174744	ENST00000359957	ENSP00000353042	BRMS1	7787	4353	Coding
chr11	66112842	66115163	66113519	66115016	-	ENSG00000174684	ENST00000311181	ENSP00000309096	B3GNT1	2321	1497	Coding
chr11	66129992	66139645	66130906	66139062	-	ENSG00000174669	ENST00000544554	ENSP00000439456	SLC29A2	9653	8156	Coding
chr11	66188474	66194178	66188650	66193460	+	ENSG00000174576	ENST00000311034	ENSP00000311196	NPAS4	5704	4810	Coding
chr11	66202545	66206319	66203477	66206225	-	ENSG00000174547	ENST00000310999	ENSP00000308897	MRPL11	3774	2748	Coding
chr11	66234339	66244808	66235599	66243638	+	ENSG00000174516	ENST00000320740	ENSP00000322532	PELI3	10469	8039	Coding
chr11	66247483	66277128	66247884	66276722	+	ENSG00000254986	ENST00000532677	ENSP00000435284	DPP3	29645	28838	Coding
chr11	66276549	66301084	66276627	66299508	+	ENSG00000256349	ENST00000419755	ENSP00000398526	BBS1	24535	22881	Coding
chr11	66278079	66301098	66278130	66299508	+	ENSG00000174483	ENST00000318312	ENSP00000317469	BBS1	23019	21378	Coding
chr11	66288552	66313706	66294427	66313474	-	ENSG00000174165	ENST00000526986	ENSP00000431321	ZDHHC24	25154	19047	Coding
chr11	66313865	66330797	66313981	66330664	+	ENSG00000248746	ENST00000502692	ENSP00000422007	ACTN3	16932	16683	Coding
chr11	66330933	66336067	66331403	66335957	-	ENSG00000174080	ENST00000310325	ENSP00000310832	CTSF	5134	4554	Coding
chr11	66357639	66360554	66357936	66360486	-	ENSG00000182791	ENST00000333861	ENSP00000328487	CCDC87	2915	2550	Coding
chr11	66360291	66373490	66360732	66373326	+	ENSG00000173992	ENST00000533244	ENSP00000436318	CCS	13199	12594	Coding
chr11	66384052	66394818	66384191	66394139	+	ENSG00000239306	ENST00000310137	ENSP00000311747	RBM14	10766	9948	Coding
chr11	66384096	66413940	66384191	66411603	+	ENSG00000248643	ENST00000412278	ENSP00000388552	RBM14-RBM4	29844	27412	Coding
